evening_date,dark_hours,observable_hours
2029-01-01,11.00,1.75
2029-01-02,11.00,1.75
2029-01-03,11.00,2.00
2029-01-04,11.00,2.00
2029-01-05,11.00,2.00
2029-01-06,11.00,2.00
2029-01-07,11.00,2.25
2029-01-08,11.00,2.25
2029-01-09,11.00,2.25
2029-01-10,11.00,2.50
2029-01-11,11.00,2.50
2029-01-12,11.00,2.50
2029-01-13,11.00,2.50
2029-01-14,11.00,2.75
2029-01-15,11.00,2.75
2029-01-16,11.00,2.75
2029-01-17,11.00,2.75
2029-01-18,11.00,3.00
2029-01-19,11.00,3.00
2029-01-20,11.00,3.00
2029-01-21,10.75,3.00
2029-01-22,10.50,3.00
2029-01-23,10.50,3.00
2029-01-24,10.50,3.00
2029-01-25,10.50,3.00
2029-01-26,10.50,3.25
2029-01-27,10.50,3.25
2029-01-28,10.50,3.25
2029-01-29,10.50,3.50
2029-01-30,10.50,3.50
2029-01-31,10.50,3.50
2029-02-01,10.50,3.50
2029-02-02,10.50,3.75
2029-02-03,10.50,3.75
2029-02-04,10.50,3.75
2029-02-05,10.50,3.75
2029-02-06,10.50,4.00
2029-02-07,10.50,4.00
2029-02-08,10.50,4.00
2029-02-09,10.25,4.00
2029-02-10,10.25,4.25
2029-02-11,10.25,4.25
2029-02-12,10.25,4.25
2029-02-13,10.25,4.25
2029-02-14,10.25,4.50
2029-02-15,10.25,4.50
2029-02-16,10.00,4.25
2029-02-17,10.00,4.25
2029-02-18,10.00,4.50
2029-02-19,10.00,4.50
2029-02-20,10.00,4.50
2029-02-21,10.00,4.75
2029-02-22,10.00,4.75
2029-02-23,10.00,4.75
2029-02-24,10.00,4.75
2029-02-25,10.00,5.00
2029-02-26,10.00,5.00
2029-02-27,10.00,5.00
2029-02-28,10.00,5.00
2029-03-01,9.75,5.25
2029-03-02,9.50,5.00
2029-03-03,9.50,5.00
2029-03-04,9.50,5.00
2029-03-05,9.50,5.25
2029-03-06,9.50,5.25
2029-03-07,9.50,5.25
2029-03-08,9.50,5.25
2029-03-09,9.50,5.50
2029-03-10,9.50,5.50
2029-03-11,9.50,5.50
2029-03-12,9.50,5.75
2029-03-13,9.50,5.75
2029-03-14,9.25,5.50
2029-03-15,9.25,5.50
2029-03-16,9.25,5.75
2029-03-17,9.25,5.75
2029-03-18,9.25,5.75
2029-03-19,9.25,5.75
2029-03-20,9.25,6.00
2029-03-21,9.00,6.00
2029-03-22,9.00,6.00
2029-03-23,9.00,6.00
2029-03-24,9.00,6.25
2029-03-25,8.75,6.00
2029-03-26,8.75,6.00
2029-03-27,8.75,6.00
2029-03-28,8.75,6.25
2029-03-29,8.75,6.25
2029-03-30,8.75,6.25
2029-03-31,8.75,6.25
2029-04-01,8.75,6.50
2029-04-02,8.75,6.50
2029-04-03,8.75,6.50
2029-04-04,8.75,6.75
2029-04-05,8.50,6.50
2029-04-06,8.50,6.50
2029-04-07,8.50,6.50
2029-04-08,8.25,6.75
2029-04-09,8.25,6.75
2029-04-10,8.25,6.75
2029-04-11,8.25,6.75
2029-04-12,8.25,7.00
2029-04-13,8.25,7.00
2029-04-14,8.25,7.00
2029-04-15,8.25,7.00
2029-04-16,8.00,7.00
2029-04-17,8.00,7.00
2029-04-18,8.00,7.00
2029-04-19,8.00,7.00
2029-04-20,8.00,7.25
2029-04-21,8.00,7.25
2029-04-22,8.00,7.25
2029-04-23,8.00,7.50
2029-04-24,7.75,7.50
2029-04-25,7.75,7.50
2029-04-26,7.75,7.50
2029-04-27,7.50,7.50
2029-04-28,7.50,7.50
2029-04-29,7.50,7.50
2029-04-30,7.50,7.50
2029-05-01,7.50,7.50
2029-05-02,7.50,7.50
2029-05-03,7.50,7.50
2029-05-04,7.50,7.50
2029-05-05,7.50,7.50
2029-05-06,7.50,7.50
2029-05-07,7.50,7.50
2029-05-08,7.50,7.50
2029-05-09,7.50,7.50
2029-05-10,7.00,7.00
2029-05-11,7.00,7.00
2029-05-12,7.00,7.00
2029-05-13,7.00,7.00
2029-05-14,7.00,7.00
2029-05-15,7.00,7.00
2029-05-16,7.00,7.00
2029-05-17,7.00,7.00
2029-05-18,7.00,7.00
2029-05-19,7.00,7.00
2029-05-20,7.00,7.00
2029-05-21,7.00,7.00
2029-05-22,7.00,7.00
2029-05-23,7.00,7.00
2029-05-24,7.00,7.00
2029-05-25,6.75,6.75
2029-05-26,6.75,6.75
2029-05-27,6.75,6.75
2029-05-28,6.50,6.50
2029-05-29,6.50,6.50
2029-05-30,6.50,6.50
2029-05-31,6.50,6.50
2029-06-01,6.50,6.50
2029-06-02,6.50,6.50
2029-06-03,6.50,6.50
2029-06-04,6.50,6.50
2029-06-05,6.50,6.50
2029-06-06,6.50,6.50
2029-06-07,6.50,6.50
2029-06-08,6.50,6.50
2029-06-09,6.50,6.50
2029-06-10,6.50,6.50
2029-06-11,6.50,6.50
2029-06-12,6.50,6.50
2029-06-13,6.50,6.50
2029-06-14,6.50,6.50
2029-06-15,6.50,6.50
2029-06-16,6.50,6.50
2029-06-17,6.50,6.50
2029-06-18,6.25,6.25
2029-06-19,6.25,6.25
2029-06-20,6.25,6.25
2029-06-21,6.25,6.25
2029-06-22,6.25,6.25
2029-06-23,6.25,6.25
2029-06-24,6.25,6.25
2029-06-25,6.25,6.25
2029-06-26,6.25,6.25
2029-06-27,6.25,6.25
2029-06-28,6.25,6.25
2029-06-29,6.25,6.00
2029-06-30,6.25,6.00
2029-07-01,6.50,6.00
2029-07-02,6.50,6.00
2029-07-03,6.50,5.75
2029-07-04,6.50,5.75
2029-07-05,6.75,6.00
2029-07-06,6.75,6.00
2029-07-07,6.75,5.75
2029-07-08,6.75,5.75
2029-07-09,6.75,5.75
2029-07-10,6.75,5.75
2029-07-11,6.75,5.50
2029-07-12,6.75,5.50
2029-07-13,6.75,5.50
2029-07-14,6.75,5.50
2029-07-15,6.75,5.25
2029-07-16,6.75,5.25
2029-07-17,6.75,5.25
2029-07-18,6.75,5.00
2029-07-19,6.75,5.00
2029-07-20,6.75,5.00
2029-07-21,7.00,5.00
2029-07-22,7.00,4.75
2029-07-23,7.00,4.75
2029-07-24,7.00,4.75
2029-07-25,7.00,4.75
2029-07-26,7.00,4.50
2029-07-27,7.00,4.50
2029-07-28,7.25,4.75
2029-07-29,7.25,4.75
2029-07-30,7.25,4.50
2029-07-31,7.25,4.50
2029-08-01,7.25,4.50
2029-08-02,7.25,4.50
2029-08-03,7.25,4.25
2029-08-04,7.25,4.25
2029-08-05,7.25,4.25
2029-08-06,7.50,4.25
2029-08-07,7.50,4.00
2029-08-08,7.50,4.00
2029-08-09,7.50,4.00
2029-08-10,7.75,4.00
2029-08-11,7.75,4.00
2029-08-12,7.75,4.00
2029-08-13,7.75,4.00
2029-08-14,7.75,3.75
2029-08-15,7.75,3.75
2029-08-16,7.75,3.75
2029-08-17,7.75,3.75
2029-08-18,7.75,3.50
2029-08-19,7.75,3.50
2029-08-20,7.75,3.50
2029-08-21,8.00,3.75
2029-08-22,8.25,3.50
2029-08-23,8.25,3.50
2029-08-24,8.25,3.50
2029-08-25,8.25,3.50
2029-08-26,8.25,3.25
2029-08-27,8.25,3.25
2029-08-28,8.25,3.25
2029-08-29,8.25,3.00
2029-08-30,8.25,3.00
2029-08-31,8.25,3.00
2029-09-01,8.50,3.25
2029-09-02,8.50,3.00
2029-09-03,8.50,3.00
2029-09-04,8.50,3.00
2029-09-05,8.50,3.00
2029-09-06,8.50,2.75
2029-09-07,8.50,2.75
2029-09-08,8.50,2.75
2029-09-09,8.50,2.75
2029-09-10,8.75,2.50
2029-09-11,9.00,2.75
2029-09-12,9.00,2.75
2029-09-13,9.00,2.75
2029-09-14,9.00,2.50
2029-09-15,9.00,2.50
2029-09-16,9.00,2.50
2029-09-17,9.00,2.50
2029-09-18,9.00,2.25
2029-09-19,9.00,2.25
2029-09-20,9.00,2.25
2029-09-21,9.00,2.00
2029-09-22,9.25,2.25
2029-09-23,9.25,2.25
2029-09-24,9.25,2.25
2029-09-25,9.25,2.00
2029-09-26,9.25,2.00
2029-09-27,9.25,2.00
2029-09-28,9.25,2.00
2029-09-29,9.25,1.75
2029-09-30,9.25,1.75
2029-10-01,9.50,1.75
2029-10-02,9.50,1.75
2029-10-03,9.75,1.75
2029-10-04,9.75,1.75
2029-10-05,9.75,1.75
2029-10-06,9.75,1.75
2029-10-07,9.75,1.50
2029-10-08,9.75,1.50
2029-10-09,9.75,1.50
2029-10-10,9.75,1.25
2029-10-11,9.75,1.25
2029-10-12,9.75,1.25
2029-10-13,9.75,1.25
2029-10-14,9.75,1.00
2029-10-15,10.00,1.25
2029-10-16,10.00,1.25
2029-10-17,10.00,1.25
2029-10-18,10.00,1.00
2029-10-19,10.00,1.00
2029-10-20,10.00,1.00
2029-10-21,10.00,1.00
2029-10-22,10.00,0.75
2029-10-23,10.00,0.75
2029-10-24,10.25,0.75
2029-10-25,10.25,0.75
2029-10-26,10.25,0.50
2029-10-27,10.25,0.50
2029-10-28,10.25,0.50
2029-10-29,10.25,0.25
2029-10-30,10.25,0.25
2029-10-31,10.50,0.50
2029-11-01,10.50,0.50
2029-11-02,10.50,0.25
2029-11-03,10.50,0.25
2029-11-04,10.50,0.25
2029-11-05,10.50,0.25
2029-11-06,10.50,0.00
2029-11-07,10.50,0.00
2029-11-08,10.50,0.00
2029-11-09,10.50,0.00
2029-11-10,10.50,0.00
2029-11-11,10.50,0.00
2029-11-12,10.50,0.00
2029-11-13,10.75,0.00
2029-11-14,10.75,0.00
2029-11-15,10.75,0.00
2029-11-16,10.75,0.00
2029-11-17,10.75,0.00
2029-11-18,10.75,0.00
2029-11-19,10.75,0.00
2029-11-20,10.75,0.00
2029-11-21,10.75,0.00
2029-11-22,10.75,0.00
2029-11-23,10.75,0.00
2029-11-24,10.75,0.00
2029-11-25,10.75,0.00
2029-11-26,10.75,0.00
2029-11-27,10.75,0.00
2029-11-28,10.75,0.00
2029-11-29,10.75,0.00
2029-11-30,10.75,0.00
2029-12-01,10.75,0.00
2029-12-02,10.75,0.00
2029-12-03,11.00,0.00
2029-12-04,11.00,0.00
2029-12-05,11.00,0.00
2029-12-06,11.00,0.00
2029-12-07,11.00,0.00
2029-12-08,11.00,0.00
2029-12-09,11.00,0.00
2029-12-10,11.00,0.00
2029-12-11,11.00,0.25
2029-12-12,11.00,0.25
2029-12-13,11.00,0.25
2029-12-14,11.00,0.25
2029-12-15,11.00,0.50
2029-12-16,11.00,0.50
2029-12-17,11.00,0.50
2029-12-18,11.00,0.50
2029-12-19,11.00,0.75
2029-12-20,11.00,0.75
2029-12-21,11.00,0.75
2029-12-22,11.00,0.75
2029-12-23,11.00,1.00
2029-12-24,11.00,1.00
2029-12-25,11.00,1.00
2029-12-26,11.00,1.25
2029-12-27,11.00,1.25
2029-12-28,11.00,1.25
2029-12-29,11.00,1.25
2029-12-30,11.00,1.50
2029-12-31,11.00,1.50
